Name,URL,Discovery
"الدارجة الجزايرية Support Forums &#8211; WordPress.org الدارجة الجزايرية",https://arq.wordpress.org/support,"Single Page Import"
"Blog Tool, Publishing Platform, and CMS &#124; WordPress.org العربية المغربية",https://ary.wordpress.org,"Single Page Import"
"العربية المغربية Support Forums &#8211; WordPress.org العربية المغربية",https://ary.wordpress.org/support,"Single Page Import"
"فريق ووردبريس المغرب &#8211; WordPress.org العربية المغربية",https://ary.wordpress.org/team,"Single Page Import"
"ব্লগ সঁজুলি, প্ৰকাশন প্লেটফৰ্ম আৰু CMS &#124; WordPress.org অসমীয়া",https://as.wordpress.org,"Single Page Import"
"Assamese Support Forums &#8211; WordPress.org অসমীয়া",https://as.wordpress.org/support,"Single Page Import"
"Ferramienta pa bloques, Plataforma d&#8217;espublización y CMS &#124; WordPress.org Asturian",https://ast.wordpress.org,"Single Page Import"
"Asturian Support Forums &#8211; WordPress.org Asturian",https://ast.wordpress.org/support,"Single Page Import"
"Blog Tool, Publishing Platform, and CMS &#124; WordPress.org Azərbaycan Türkcəsi",https://az-tr.wordpress.org,"Single Page Import"
"Turkish Azerbaijani Support Forums &#8211; WordPress.org Azərbaycan Türkcəsi",https://az-tr.wordpress.org/support,"Single Page Import"
"Blog Tool, Publishing Platform, and CMS &#124; WordPress.org Azərbaycan dili",https://az.wordpress.org,"Single Page Import"
"Azerbaijani Support Forums &#8211; WordPress.org Azərbaycan dili",https://az.wordpress.org/support,"Single Page Import"
"Azərbaycan Komandası &#8211; WordPress.org Azərbaycan dili",https://az.wordpress.org/team,"Single Page Import"
"Blog Tool, Publishing Platform, and CMS &#124; WordPress.org تورکجه",https://azb.wordpress.org,"Single Page Import"
"آذربایجان تورکجه‌سینده وردپرس &#8211; تورکجه وردپرس‌دن یازین، پایلاشین و گوجله‌نین &#8211; WordPress.org تورکجه",https://azb.wordpress.org/team,"Single Page Import"
"Blog Tool, Publishing Platform, and CMS &#124; WordPress.org Catalan (Balear)",https://bal.wordpress.org,"Single Page Import"
"Blog Tool, Publishing Platform, and CMS &#124; WordPress.org بلوچی",https://bcc.wordpress.org,"Single Page Import"
"Balochi Southern Support Forums &#8211; WordPress.org بلوچی",https://bcc.wordpress.org/support,"Single Page Import"
"Blog Tool, Publishing Platform, and CMS &#124; WordPress.org Беларуская мова",https://bel.wordpress.org,"Single Page Import"
"Belarusian Support Forums &#8211; WordPress.org Беларуская мова",https://bel.wordpress.org/support,"Single Page Import"
"Blog Tool, Publishing Platform, and CMS &#124; WordPress.org България",https://bg.wordpress.org,"Single Page Import"
"България Support Forums &#8211; WordPress.org България",https://bg.wordpress.org/support,"Single Page Import"
"WordPress България &#8211; Зона за дискусии, бележки от срещи и пр.",https://bg.wordpress.org/team,"Single Page Import"
"Blog Tool, Publishing Platform, and CMS &#124; WordPress.org भोजपुरी ",https://bho.wordpress.org,"Single Page Import"
"Blog Tool, Publishing Platform, and CMS &#124; WordPress.org বাংলা (ভারত)",https://bn-in.wordpress.org,"Single Page Import"
"Team বাংলা (ভারত) &#8211; WordPress.org বাংলা (ভারত)",https://bn-in.wordpress.org/team,"Single Page Import"
"Blog Tool, Publishing Platform, and CMS &#124; WordPress.org বাংলা",https://bn.wordpress.org,"Single Page Import"
"Bengali Support Forums &#8211; WordPress.org বাংলা",https://bn.wordpress.org/support,"Single Page Import"
"Bengal Team &#8211; WordPress.org বাংলা",https://bn.wordpress.org/team,"Single Page Import"
"པོད་ཁུག་བཟོ་ཆས། པར་འགྲེམས་སྟེགས་བུ་དང་ནང་དོན་དོ་དམ་མ་ལག (CMS) &#124; WordPress.org བོད་ཡིག",https://bo.wordpress.org,"Single Page Import"
"Tibetan Team &#8211; WordPress.org བོད་ཡིག",https://bo.wordpress.org/team,"Single Page Import"
"Ferramenta de blog, plataforma de publicação e CMS &#124; WordPress.org Brasil",https://br.wordpress.org,"Single Page Import"
"Fóruns de suporte &#8211; WordPress.org Brasil",https://br.wordpress.org/support,"Single Page Import"
"Equipe Brasileira &#8211; Blog da equipe brasileira do WordPress",https://br.wordpress.org/team,"Single Page Import"
"Blog Tool, Publishing Platform, and CMS &#124; WordPress.org Brezhoneg",https://bre.wordpress.org,"Single Page Import"
"Breton Support Forums &#8211; WordPress.org Brezhoneg",https://bre.wordpress.org/support,"Single Page Import"
"Blog Tool, Publishing Platform, and CMS &#124; WordPress.org Bodo",https://brx.wordpress.org,"Single Page Import"
"Alat za blog, Platforma za izdavaštvo, i CMS &#124; WordPress.org Bosanski",https://bs.wordpress.org,"Single Page Import"
"Bosanski Support Forums &#8211; WordPress.org Bosanski",https://bs.wordpress.org/support,"Single Page Import"
"Blog Tool, Publishing Platform, and CMS &#124; WordPress.org Català (Valencià)",https://ca-valencia.wordpress.org,"Single Page Import"
"Català (Valencià) Team &#8211; WordPress.org Català (Valencià)",https://ca-valencia.wordpress.org/team,"Single Page Import"
"Eina de blog, plataforma de publicació i CMS &#8211; WordPress.org Català",https://ca.wordpress.org,"Single Page Import"
"Fòrums de suport &#8211; WordPress.org Català",https://ca.wordpress.org/support,"Single Page Import"
"Equip del WordPress en català",https://ca.wordpress.org/team,"Single Page Import"
"Blog Tool, Publishing Platform, and CMS &#124; WordPress.org Cebuano",https://ceb.wordpress.org,"Single Page Import"
"Cebuano Support Forums &#8211; WordPress.org Cebuano",https://ceb.wordpress.org/support,"Single Page Import"
"Herramienta de Blog, Plataforma de Publicación, y CMS &#124; WordPress.org Chile",https://cl.wordpress.org,"Single Page Import"
"Spanish (Chile) Team &#8211; WordPress.org Chile",https://cl.wordpress.org/team,"Single Page Import"
"适用于博客到大型网站的 CMS (内容管理系统) &#124; WordPress.org China 简体中文",https://cn.wordpress.org,"Single Page Import"
"China 简体中文支持论坛 &#8211; WordPress.org China 简体中文",https://cn.wordpress.org/support,"Single Page Import"
"China 简体中文本地化团队 &#8211; WordPress.org China 简体中文",https://cn.wordpress.org/team,"Single Page Import"
"Blog Tool, Publishing Platform, and CMS &#124; WordPress.org Corsu",https://co.wordpress.org,"Single Page Import"
"Corsican Support Forums &#8211; WordPress.org Corsu",https://co.wordpress.org/support,"Single Page Import"
"Blog Tool, Publishing Platform, and CMS &#124; WordPress.org Kernewek",https://cor.wordpress.org,"Single Page Import"
"Wordpress  &#8211; Cornish Translation &#8211; WordPress.org Kernewek",https://cor.wordpress.org/team,"Single Page Import"
"Blogovací nástroj, platforma pro publikování a CMS &#124; WordPress.org Česko",https://cs.wordpress.org,"Single Page Import"
"Czech Support Forums &#8211; WordPress.org Česko",https://cs.wordpress.org/support,"Single Page Import"
"Český tým &#8211; stránka české komunity &#8211; WordPress.org Česko",https://cs.wordpress.org/team,"Single Page Import"
"Offeryn Blog, Llwyfan Cyhoeddi, a CMS &#124; WordPress.org Cymraeg",https://cy.wordpress.org,"Single Page Import"
"Welsh Team &#8211; WordPress.org Cymraeg",https://cy.wordpress.org/team,"Single Page Import"
"Blog Tool, Publishing Platform, and CMS &#124; WordPress.org Dansk",https://da.wordpress.org,"Single Page Import"
"Danish Support Forums &#8211; WordPress.org Dansk",https://da.wordpress.org/support,"Sitemap Import"
"Danske Team &#8211; Det danske WordPress fællesskab",https://da.wordpress.org/team,"Single Page Import"
"Blog Tool, Publishing Platform, and CMS &#124; WordPress.org Deutsch (Österreich)",https://de-at.wordpress.org,"Single Page Import"
"Team Österreichisches Deutsch &#8211; WordPress.org Deutsch (Österreich)",https://de-at.wordpress.org/team,"Single Page Import"
"Blog Tool, Publishing Platform, and CMS &#124; WordPress.org Deutsch (Schweiz)",https://de-ch.wordpress.org,"Single Page Import"
"German (Switzerland) Team &#8211; WordPress.org Deutsch (Schweiz)",https://de-ch.wordpress.org/team,"Single Page Import"
"Blog-Tool, Publishing-Plattform und CMS &#124; WordPress.org Deutsch",https://de.wordpress.org,"Single Page Import"
"Support-Foren &#8211; WordPress.org Deutsch",https://de.wordpress.org/support,"Single Page Import"
Unreachable,https://de.wordpress.org/team-old,Unreachable
"Team DE &#8211; Team-Blog für die deutschsprachige WordPress-Community",https://de.wordpress.org/team,"Single Page Import"
Unreachable,https://deleted-s-origin.wordpress.org,Unreachable
"WordPress Developer Resources | Official WordPress Developer Resources | Developer.WordPress.org",https://developer.wordpress.org,"Sitemap Import"
"WordPress Developer Blog &#8211; A site for plugin and theme developers, freelancers, and agency developers",https://developer.wordpress.org/news,"Sitemap Import"
"Blogowański rěd, wózjawjeńska platforma a CMS &#124; WordPress.org Dolnoserbšćina",https://dsb.wordpress.org,"Single Page Import"
"Dolnoserbšćina Team &#8211; WordPress.org Dolnoserbšćina",https://dsb.wordpress.org/team,"Single Page Import"
"Blog Tool, Publishing Platform, and CMS &#124; WordPress.org Dhivehi",https://dv.wordpress.org,"Single Page Import"
"Blog Tool, Publishing Platform, and CMS &#124; WordPress.org Dzongkha",https://dzo.wordpress.org,"Single Page Import"
"Dzongkha Support Forums &#8211; WordPress.org Dzongkha",https://dzo.wordpress.org/support,"Single Page Import"
"Εργαλείο ιστολογίου, πλατφόρμα δημοσίευσης και CMS &#124; WordPress.org Ελληνικά",https://el.wordpress.org,"Single Page Import"
"Φόρουμ υποστήριξης &#8211; WordPress.org Ελληνικά",https://el.wordpress.org/support,"Sitemap Import"
"Greek Team &#8211; WordPress.org Ελληνικά",https://el.wordpress.org/team,"Single Page Import"
"Blog Tool, Publishing Platform, and CMS &#124; WordPress.org 🌏🌍🌎 (Emoji)",https://emoji.wordpress.org,"Single Page Import"
"Emoji Forums &#8211; WordPress.org 🌏🌍🌎 (Emoji)",https://emoji.wordpress.org/support,"Single Page Import"
"Blog Tool, Publishing Platform, and CMS &#124; WordPress.org English (Australia)",https://en-au.wordpress.org,"Single Page Import"
"English (Australia) Team &#8211; WordPress.org English (Australia)",https://en-au.wordpress.org/team,"Single Page Import"
"Blog Tool, Publishing Platform, and CMS &#124; WordPress.org English (Canada)",https://en-ca.wordpress.org,"Single Page Import"
"English (Canada) Team &#8211; WordPress.org English (Canada)",https://en-ca.wordpress.org/team,"Single Page Import"
"Blog Tool, Publishing Platform, and CMS &#8211; WordPress.org English (UK)",https://en-gb.wordpress.org,"Single Page Import"
"WordPress UK Team P2",https://en-gb.wordpress.org/team,"Single Page Import"
"Blog Tool, Publishing Platform, and CMS &#124; WordPress.org English (New Zealand) ",https://en-nz.wordpress.org,"Single Page Import"
"English (New Zealand) Team &#8211; WordPress.org English (New Zealand) ",https://en-nz.wordpress.org/team,"Single Page Import"
"Blog Tool, Publishing Platform, and CMS &#124; WordPress.org English (South Africa)",https://en-za.wordpress.org,"Single Page Import"
"English (South Africa) Team &#8211; WordPress.org English (South Africa)",https://en-za.wordpress.org/team,"Single Page Import"
"Blog Tool, Publishing Platform, and CMS &#124; WordPress.org Esperanto",https://eo.wordpress.org,"Single Page Import"
"Esperanto Support Forums &#8211; WordPress.org Esperanto",https://eo.wordpress.org/support,"Single Page Import"
"Esperanto Team &#8211; WordPress.org Esperanto",https://eo.wordpress.org/team,"Single Page Import"
"Herramienta de blog, plataforma de publicación y CMS &#124; WordPress.org Español (Argentina)",https://es-ar.wordpress.org,"Single Page Import"
"Foros de soporte &#8211; WordPress.org Español (Argentina)",https://es-ar.wordpress.org/support,"Single Page Import"
"Spanish (Argentina) Team &#8211; WordPress.org Español (Argentina)",https://es-ar.wordpress.org/team,"Single Page Import"
"Herramienta de blog, plataforma de publicación y CMS &#124; WordPress.org Colombia",https://es-co.wordpress.org,"Single Page Import"
"Blog Tool, Publishing Platform, and CMS &#124; WordPress.org Español (Costa Rica)",https://es-cr.wordpress.org,"Single Page Import"
"Team Español (Costa Rica) &#8211; WordPress.org Español (Costa Rica)",https://es-cr.wordpress.org/team,"Single Page Import"
"Herramienta de blog, plataforma de publicación y CMS &#124; WordPress.org Español de República Dominicana",https://es-do.wordpress.org,"Single Page Import"
"Español de República Dominicana &#8211; WordPress.org Español de República Dominicana",https://es-do.wordpress.org/team,"Single Page Import"
"Herramienta de blog, plataforma de publicación y CMS &#124; WordPress.org Español (Ecuador)",https://es-ec.wordpress.org,"Single Page Import"
"Español de Ecuador Team &#8211; WordPress.org Español (Ecuador)",https://es-ec.wordpress.org/team,"Single Page Import"
"Blog Tool, Publishing Platform, and CMS &#124; WordPress.org Español (Guatemala)",https://es-gt.wordpress.org,"Single Page Import"
"Comunidad WordPress Guatemala &#8211; Se parte de la comunidad de WordPress en Guatemala",https://es-gt.wordpress.org/team,"Single Page Import"
"Blog Tool, Publishing Platform, and CMS &#124; WordPress.org Español de Honduras",https://es-hn.wordpress.org,"Single Page Import"
"Español de Honduras &#8211; WordPress.org Español de Honduras",https://es-hn.wordpress.org/team,"Single Page Import"
"Herramienta de Blog, Plataforma de Publicación y CMS &#124; WordPress.org Español (México)",https://es-mx.wordpress.org,"Single Page Import"
